,cmap_name,ENTREZID,target
165,LDN-212854,25,ABL1
179,HG-5-113-01,25,ABL1
181,dasatinib,27,ABL2
182,trimetazidine,10449,ACAA2
183,KD-023,31,ACACA
184,biotin,31,ACACA
185,metformin,32,ACACB
186,KD-023,32,ACACB
187,biotin,32,ACACB
188,valproic-acid,36,ACADSB
189,ilomastat,176,ACAN
190,CI-976,38,ACAT1
191,sulfasalazine,38,ACAT1
192,butein,1636,ACE
193,ramipril,1636,ACE
194,quinapril,1636,ACE
195,methiopril,1636,ACE
196,enalapril,1636,ACE
197,captopril,1636,ACE
201,perindopril,1636,ACE
202,benazepril,1636,ACE
203,zofenopril-calcium,1636,ACE
207,rescinnamine,1636,ACE
211,enalaprilat,1636,ACE
212,temocapril,1636,ACE
213,fosinopril,1636,ACE
220,imidapril,1636,ACE
221,lisinopril,1636,ACE
223,cilazapril,1636,ACE
225,moexipril,1636,ACE
226,trandolapril,1636,ACE
229,delapril,1636,ACE
230,isoquercetin,1636,ACE
231,hyperoside,1636,ACE
233,moexipril,59272,ACE2
234,methoxsalen,43,ACHE
235,huperzine-a,43,ACHE
236,protopine,43,ACHE
237,desoxypeganine,43,ACHE
239,niacin,43,ACHE
240,physostigmine,43,ACHE
241,ethoprop,43,ACHE
242,galantamine,43,ACHE
243,imperatorin,43,ACHE
244,ipidacrine,43,ACHE
245,phenserine,43,ACHE
246,mestinon,43,ACHE
247,donepezil,43,ACHE
248,tubocurarine,43,ACHE
249,withaferin-a,43,ACHE
250,pralidoxime,43,ACHE
252,harpagoside,43,ACHE
253,ambenonium,43,ACHE
258,minaprine,43,ACHE
259,herniarin,43,ACHE
260,methylene-blue,43,ACHE
261,velnacrine,43,ACHE
262,tacrine,43,ACHE
266,dimpylate,43,ACHE
268,ephedrine,43,ACHE
272,demecarium,43,ACHE
274,neostigmine,43,ACHE
275,propentofylline,43,ACHE
278,acetylcholine,43,ACHE
280,PRIMA1,43,ACHE
283,rivastigmine,43,ACHE
288,metrifonate,43,ACHE
293,edrophonium,43,ACHE
301,itopride,43,ACHE
302,dipivefrine,43,ACHE
303,pentoxifylline,43,ACHE
304,clebopride,43,ACHE
306,CHEMBL-399379,47,ACLY
307,radicicol,47,ACLY
308,oxalomalic-acid,48,ACO1
310,triacsin-c,2180,ACSL1
312,icosapent,2181,ACSL3
313,troglitazone,2182,ACSL4
314,icosapent,2182,ACSL4
315,rosiglitazone,2182,ACSL4
316,cytochalasin-d,60,ACTB
317,LDN-193189,90,ACVR1
318,DMH1,90,ACVR1
319,LDN-212854,90,ACVR1
321,dorsomorphin,90,ACVR1
322,SB-431542,91,ACVR1B
323,SB-431542,130399,ACVR1C
325,raloxifene,94,ACVRL1
326,EHNA,100,ADA
327,fludarabine,100,ADA
329,cladribine,100,ADA
330,vidarabine,100,ADA
335,dipyridamole,100,ADA
337,ilomastat,10863,ADAM28
338,SQ-22536,107,ADCY1
340,forskolin,108,ADCY2
345,colforsin,108,ADCY2
350,colforsin,111,ADCY5
351,forskolin,111,ADCY5
352,SQ-22536,111,ADCY5
357,vidarabine,111,ADCY5
358,fomepizole,124,ADH1A
359,fomepizole,125,ADH1B
360,formononetin,126,ADH1C
361,fomepizole,126,ADH1C
362,cholic-acid,126,ADH1C
363,arctigenin,51094,ADIPOR1
364,parthenolide,79602,ADIPOR2
366,taxifolin,79602,ADIPOR2
369,5-iodotubercidin,132,ADK
370,ABT-702,132,ADK
371,ribavirin,132,ADK
372,SCH-442416,134,ADORA1
373,caffeine,134,ADORA1
374,IB-MECA,134,ADORA1
375,SDZ-WAG-994,134,ADORA1
376,GR-79236,134,ADORA1
377,SCH-58261,134,ADORA1
379,BRD-A73929928,134,ADORA1
380,aminophylline,134,ADORA1
381,NECA,134,ADORA1
382,etofylline,134,ADORA1
383,DPCPX,134,ADORA1
385,PSB-36,134,ADORA1
386,adenosine,134,ADORA1
387,PSB-11,134,ADORA1
388,PSB-1115,134,ADORA1
389,MRS-1754,134,ADORA1
390,istradefylline,134,ADORA1
391,cyproterone,134,ADORA1
396,SLV-320,134,ADORA1
397,doxofylline,134,ADORA1
398,acefylline,134,ADORA1
399,CGS-21680,134,ADORA1
400,ZM-241385,134,ADORA1
402,pentoxifylline,134,ADORA1
404,hemado,134,ADORA1
406,CGS-15943,134,ADORA1
410,theophylline,134,ADORA1
411,BRD-K79511609,134,ADORA1
416,EHNA,135,ADORA2A
417,tozadenant,135,ADORA2A
418,PSB-36,135,ADORA2A
419,IB-MECA,135,ADORA2A
420,BRD-A73929928,135,ADORA2A
421,caffeine,135,ADORA2A
422,ZM-241385,135,ADORA2A
424,SCH-58261,135,ADORA2A
425,preladenant,135,ADORA2A
427,SCH-442416,135,ADORA2A
428,PSB-11,135,ADORA2A
429,CGS-21680,135,ADORA2A
431,SAL-1,135,ADORA2A
433,pentoxifylline,135,ADORA2A
434,NECA,135,ADORA2A
436,GR-79236,135,ADORA2A
437,CV-1808,135,ADORA2A
438,theophylline,135,ADORA2A
440,CGS-15943,135,ADORA2A
442,aminophylline,135,ADORA2A
443,MRS-1754,135,ADORA2A
447,BRD-K79511609,135,ADORA2A
448,istradefylline,135,ADORA2A
449,adenosine,135,ADORA2A
450,hemado,135,ADORA2A
451,regadenoson,135,ADORA2A
452,mefloquine,135,ADORA2A
456,caffeine,136,ADORA2B
457,MRS-1754,136,ADORA2B
458,CGS-21680,136,ADORA2B
459,ZM-241385,136,ADORA2B
460,SAL-1,136,ADORA2B
461,enprofylline,136,ADORA2B
462,PSB-36,136,ADORA2B
463,PSB-1115,136,ADORA2B
464,IB-MECA,136,ADORA2B
465,NECA,136,ADORA2B
466,SCH-442416,136,ADORA2B
468,CV-1808,136,ADORA2B
469,theophylline,136,ADORA2B
471,CGS-15943,136,ADORA2B
473,aminophylline,136,ADORA2B
477,MRS-1220,136,ADORA2B
478,BRD-K79511609,136,ADORA2B
479,hemado,136,ADORA2B
480,SCH-58261,136,ADORA2B
482,adenosine,136,ADORA2B
486,PSB-11,140,ADORA3
487,IB-MECA,140,ADORA3
488,MRS-1334,140,ADORA3
489,PSB-36,140,ADORA3
490,theophylline,140,ADORA3
492,CGS-21680,140,ADORA3
493,SCH-442416,140,ADORA3
494,flavanone,140,ADORA3
496,SCH-58261,140,ADORA3
497,CGS-15943,140,ADORA3
498,MRS-1754,140,ADORA3
499,MRS-1220,140,ADORA3
500,nicardipine,140,ADORA3
502,hemado,140,ADORA3
503,aminophylline,140,ADORA3
504,reversine,140,ADORA3
508,PSB-1115,140,ADORA3
510,caffeine,140,ADORA3
512,NECA,140,ADORA3
513,adenosine,140,ADORA3
514,ZM-241385,140,ADORA3
516,cabergoline,148,ADRA1A
517,ergometrine,148,ADRA1A
518,terguride,148,ADRA1A
519,clozapine,148,ADRA1A
520,niguldipine,148,ADRA1A
521,promazine,148,ADRA1A
522,labetalol,148,ADRA1A
523,droxidopa,148,ADRA1A
524,spiperone,148,ADRA1A
525,2-PMDQ,148,ADRA1A
526,cirazoline,148,ADRA1A
527,synephrine,148,ADRA1A
528,iloperidone,148,ADRA1A
529,mianserin,148,ADRA1A
530,etilefrine,148,ADRA1A
532,loxapine,148,ADRA1A
533,doxazosin,148,ADRA1A
534,spiroxatrine,148,ADRA1A
536,buflomedil,148,ADRA1A
538,phenoxybenzamine,148,ADRA1A
539,RX-821002,148,ADRA1A
540,naphazoline,148,ADRA1A
541,olanzapine,148,ADRA1A
542,ritanserin,148,ADRA1A
543,dobutamine,148,ADRA1A
544,pergolide,148,ADRA1A
545,nicergoline,148,ADRA1A
546,midodrine,148,ADRA1A
549,trimipramine,148,ADRA1A
550,nortriptyline,148,ADRA1A
551,cyproheptadine,148,ADRA1A
552,flupentixol,148,ADRA1A
553,methoxamine,148,ADRA1A
554,ephedrine,148,ADRA1A
555,doxepin,148,ADRA1A
557,mirtazapine,148,ADRA1A
559,tolazoline,148,ADRA1A
560,nefazodone,148,ADRA1A
561,piribedil,148,ADRA1A
562,carvedilol,148,ADRA1A
563,3-MPPI,148,ADRA1A
564,RS-17053,148,ADRA1A
566,phenylephrine,148,ADRA1A
567,naftopidil,148,ADRA1A
568,alfuzosin,148,ADRA1A
569,maprotiline,148,ADRA1A
571,amoxapine,148,ADRA1A
572,trifluoperazine,148,ADRA1A
574,imipramine,148,ADRA1A
576,amitriptyline,148,ADRA1A
578,levomepromazine,148,ADRA1A
579,epinephrine,148,ADRA1A
580,oxymetazoline,148,ADRA1A
582,nicardipine,148,ADRA1A
585,phentolamine,148,ADRA1A
587,BMY-7378,148,ADRA1A
588,RS-100329,148,ADRA1A
589,clonidine,148,ADRA1A
591,bromocriptine,148,ADRA1A
592,lisuride,148,ADRA1A
593,prazosin,148,ADRA1A
594,quetiapine,148,ADRA1A
595,tamsulosin,148,ADRA1A
597,dipivefrine,148,ADRA1A
598,BE-2254,148,ADRA1A
599,trazodone,148,ADRA1A
602,pseudoephedrine,148,ADRA1A
603,risperidone,148,ADRA1A
604,WB-4101,148,ADRA1A
608,ziprasidone,148,ADRA1A
610,mephentermine,148,ADRA1A
612,escitalopram,148,ADRA1A
613,indoramin,148,ADRA1A
615,acepromazine,148,ADRA1A
617,terazosin,148,ADRA1A
619,aripiprazole,148,ADRA1A
621,NAN-190,148,ADRA1A
624,thioridazine,148,ADRA1A
625,thioproperazine,148,ADRA1A
627,fenoldopam,148,ADRA1A
628,cyclazosin,148,ADRA1A
631,anisodamine,148,ADRA1A
632,ketanserin,148,ADRA1A
636,droperidol,148,ADRA1A
638,desipramine,148,ADRA1A
642,diazepam,148,ADRA1A
647,medetomidine,148,ADRA1A
650,epinephrine,147,ADRA1B
651,promazine,147,ADRA1B
652,labetalol,147,ADRA1B
653,phenoxybenzamine,147,ADRA1B
654,doxazosin,147,ADRA1B
655,doxepin,147,ADRA1B
656,cabergoline,147,ADRA1B
657,pergolide,147,ADRA1B
658,cyclazosin,147,ADRA1B
659,midodrine,147,ADRA1B
660,bromocriptine,147,ADRA1B
661,clozapine,147,ADRA1B
662,mianserin,147,ADRA1B
663,modafinil,147,ADRA1B
664,RX-821002,147,ADRA1B
665,loxapine,147,ADRA1B
666,olanzapine,147,ADRA1B
667,methoxamine,147,ADRA1B
669,risperidone,147,ADRA1B
670,alfuzosin,147,ADRA1B
671,thioridazine,147,ADRA1B
672,droxidopa,147,ADRA1B
675,trimipramine,147,ADRA1B
676,cyproheptadine,147,ADRA1B
677,prazosin,147,ADRA1B
678,aripiprazole,147,ADRA1B
679,spiperone,147,ADRA1B
680,fenoldopam,147,ADRA1B
682,terazosin,147,ADRA1B
684,oxymetazoline,147,ADRA1B
685,spiroxatrine,147,ADRA1B
686,maprotiline,147,ADRA1B
687,thioproperazine,147,ADRA1B
688,acepromazine,147,ADRA1B
689,niguldipine,147,ADRA1B
694,nicardipine,147,ADRA1B
695,tamsulosin,147,ADRA1B
696,mephentermine,147,ADRA1B
697,NAN-190,147,ADRA1B
698,BMY-7378,147,ADRA1B
699,carvedilol,147,ADRA1B
701,ketanserin,147,ADRA1B
702,phentolamine,147,ADRA1B
703,nortriptyline,147,ADRA1B
707,quetiapine,147,ADRA1B
708,amitriptyline,147,ADRA1B
709,ziprasidone,147,ADRA1B
710,imipramine,147,ADRA1B
711,WB-4101,147,ADRA1B
712,clonidine,147,ADRA1B
714,phenylephrine,147,ADRA1B
719,nefazodone,147,ADRA1B
721,amoxapine,147,ADRA1B
725,mirtazapine,147,ADRA1B
727,desipramine,147,ADRA1B
729,ritanserin,147,ADRA1B
731,levomepromazine,147,ADRA1B
734,medetomidine,147,ADRA1B
736,cabergoline,146,ADRA1D
737,pergolide,146,ADRA1D
738,fenoldopam,146,ADRA1D
739,labetalol,146,ADRA1D
740,doxazosin,146,ADRA1D
741,promazine,146,ADRA1D
742,spiperone,146,ADRA1D
743,maprotiline,146,ADRA1D
744,droxidopa,146,ADRA1D
745,bromocriptine,146,ADRA1D
746,nortriptyline,146,ADRA1D
747,phenoxybenzamine,146,ADRA1D
748,mephentermine,146,ADRA1D
749,epinephrine,146,ADRA1D
750,niguldipine,146,ADRA1D
751,methoxamine,146,ADRA1D
752,scoulerine,146,ADRA1D
753,BMY-7378,146,ADRA1D
754,indoramin,146,ADRA1D
755,mianserin,146,ADRA1D
756,phentolamine,146,ADRA1D
757,risperidone,146,ADRA1D
758,imipramine,146,ADRA1D
761,doxepin,146,ADRA1D
762,RS-17053,146,ADRA1D
764,amoxapine,146,ADRA1D
765,ketanserin,146,ADRA1D
766,RX-821002,146,ADRA1D
767,midodrine,146,ADRA1D
768,alfuzosin,146,ADRA1D
769,terazosin,146,ADRA1D
771,carvedilol,146,ADRA1D
772,spiroxatrine,146,ADRA1D
776,cyproheptadine,146,ADRA1D
778,naftopidil,146,ADRA1D
779,prazosin,146,ADRA1D
781,tamsulosin,146,ADRA1D
782,medetomidine,146,ADRA1D
783,cyclazosin,146,ADRA1D
784,oxymetazoline,146,ADRA1D
785,clonidine,146,ADRA1D
786,nicardipine,146,ADRA1D
787,quetiapine,146,ADRA1D
790,ritanserin,146,ADRA1D
791,RS-100329,146,ADRA1D
792,levomepromazine,146,ADRA1D
793,NAN-190,146,ADRA1D
798,WB-4101,146,ADRA1D
804,mirtazapine,146,ADRA1D
805,clozapine,146,ADRA1D
807,desipramine,146,ADRA1D
814,amitriptyline,146,ADRA1D
815,RX-821002,150,ADRA2A
816,fenoldopam,150,ADRA2A
817,nefazodone,150,ADRA2A
818,idazoxan,150,ADRA2A
819,bromocriptine,150,ADRA2A
820,olanzapine,150,ADRA2A
821,yohimbine,150,ADRA2A
823,phenoxybenzamine,150,ADRA2A
825,flupirtine,150,ADRA2A
826,lurasidone,150,ADRA2A
827,naphazoline,150,ADRA2A
828,rilmenidine,150,ADRA2A
829,WB-4101,150,ADRA2A
830,cabergoline,150,ADRA2A
832,RS-79948,150,ADRA2A
834,risperidone,150,ADRA2A
835,maprotiline,150,ADRA2A
836,spiroxatrine,150,ADRA2A
837,scoulerine,150,ADRA2A
838,epinephrine,150,ADRA2A
839,tolazoline,150,ADRA2A
840,noreleagnine,150,ADRA2A
841,medetomidine,150,ADRA2A
844,droxidopa,150,ADRA2A
845,levomepromazine,150,ADRA2A
846,doxepin,150,ADRA2A
847,phentolamine,150,ADRA2A
848,oxymetazoline,150,ADRA2A
849,xylometazoline,150,ADRA2A
850,trimipramine,150,ADRA2A
851,lofexidine,150,ADRA2A
853,piribedil,150,ADRA2A
855,mirtazapine,150,ADRA2A
856,xylazine,150,ADRA2A
859,ropinirole,150,ADRA2A
860,tizanidine,150,ADRA2A
861,brimonidine,150,ADRA2A
862,clonidine,150,ADRA2A
864,loxapine,150,ADRA2A
868,apomorphine,150,ADRA2A
869,dipivefrine,150,ADRA2A
871,guanfacine,150,ADRA2A
872,quetiapine,150,ADRA2A
874,celiprolol,150,ADRA2A
875,nortriptyline,150,ADRA2A
876,aripiprazole,150,ADRA2A
881,lisuride,150,ADRA2A
882,carvedilol,150,ADRA2A
884,terguride,150,ADRA2A
885,desipramine,150,ADRA2A
886,guanabenz,150,ADRA2A
887,imiloxan,150,ADRA2A
888,pseudoephedrine,150,ADRA2A
889,pergolide,150,ADRA2A
892,methyldopa,150,ADRA2A
893,ARC-239,150,ADRA2A
894,mephentermine,150,ADRA2A
895,prazosin,150,ADRA2A
900,amoxapine,150,ADRA2A
901,ziprasidone,150,ADRA2A
904,hexamethyleneamiloride,150,ADRA2A
909,trazodone,150,ADRA2A
914,mianserin,150,ADRA2A
922,guanaben-acetate,150,ADRA2A
925,amitriptyline,150,ADRA2A
927,pramipexole,150,ADRA2A
928,clozapine,150,ADRA2A
933,moxonidine,150,ADRA2A
935,yohimbine,151,ADRA2B
936,trimipramine,151,ADRA2B
937,phentolamine,151,ADRA2B
938,bromocriptine,151,ADRA2B
939,risperidone,151,ADRA2B
940,etomidate,151,ADRA2B
942,medetomidine,151,ADRA2B
943,noreleagnine,151,ADRA2B
944,clonidine,151,ADRA2B
945,cabergoline,151,ADRA2B
946,RX-821002,151,ADRA2B
947,terguride,151,ADRA2B
948,aripiprazole,151,ADRA2B
949,pergolide,151,ADRA2B
950,droxidopa,151,ADRA2B
951,WB-4101,151,ADRA2B
953,nortriptyline,151,ADRA2B
954,oxymetazoline,151,ADRA2B
955,guanfacine,151,ADRA2B
956,mirtazapine,151,ADRA2B
958,olanzapine,151,ADRA2B
960,fenoldopam,151,ADRA2B
963,epinephrine,151,ADRA2B
965,levomepromazine,151,ADRA2B
967,ziprasidone,151,ADRA2B
968,prazosin,151,ADRA2B
969,brimonidine,151,ADRA2B
970,pentoxifylline,151,ADRA2B
971,doxepin,151,ADRA2B
972,xylometazoline,151,ADRA2B
976,clozapine,151,ADRA2B
978,ARC-239,151,ADRA2B
979,desipramine,151,ADRA2B
980,tolazoline,151,ADRA2B
981,guanabenz,151,ADRA2B
982,lisuride,151,ADRA2B
984,ropinirole,151,ADRA2B
985,spiroxatrine,151,ADRA2B
986,xylazine,151,ADRA2B
996,tizanidine,151,ADRA2B
997,amoxapine,151,ADRA2B
999,maprotiline,151,ADRA2B
1000,loxapine,151,ADRA2B
1001,guanaben-acetate,151,ADRA2B
1002,mephentermine,151,ADRA2B
1004,quetiapine,151,ADRA2B
1005,phenoxybenzamine,151,ADRA2B
1007,imiloxan,151,ADRA2B
1010,apomorphine,151,ADRA2B
1015,carvedilol,151,ADRA2B
1024,pramipexole,151,ADRA2B
1025,mianserin,151,ADRA2B
1029,moxonidine,151,ADRA2B
1033,cabergoline,152,ADRA2C
1034,phentolamine,152,ADRA2C
1035,yohimbine,152,ADRA2C
1036,noreleagnine,152,ADRA2C
1037,bromocriptine,152,ADRA2C
1038,WB-4101,152,ADRA2C
1039,brimonidine,152,ADRA2C
1040,guanabenz,152,ADRA2C
1041,lurasidone,152,ADRA2C
1042,epinephrine,152,ADRA2C
1043,guanfacine,152,ADRA2C
1044,piribedil,152,ADRA2C
1045,mirtazapine,152,ADRA2C
1046,terguride,152,ADRA2C
1047,tolazoline,152,ADRA2C
1048,pergolide,152,ADRA2C
1050,levomepromazine,152,ADRA2C
1051,medetomidine,152,ADRA2C
1052,RX-821002,152,ADRA2C
1053,iloperidone,152,ADRA2C
1054,oxymetazoline,152,ADRA2C
1056,risperidone,152,ADRA2C
1057,droxidopa,152,ADRA2C
1058,olanzapine,152,ADRA2C
1062,prazosin,152,ADRA2C
1063,pramipexole,152,ADRA2C
1065,xylazine,152,ADRA2C
1068,quetiapine,152,ADRA2C
1069,tizanidine,152,ADRA2C
1071,phenoxybenzamine,152,ADRA2C
1072,clonidine,152,ADRA2C
1075,ziprasidone,152,ADRA2C
1076,spiroxatrine,152,ADRA2C
1079,mephentermine,152,ADRA2C
1085,nortriptyline,152,ADRA2C
1087,lisuride,152,ADRA2C
1088,maprotiline,152,ADRA2C
1092,clozapine,152,ADRA2C
1094,ARC-239,152,ADRA2C
1098,amoxapine,152,ADRA2C
1099,xylometazoline,152,ADRA2C
1100,aripiprazole,152,ADRA2C
1105,apomorphine,152,ADRA2C
1106,carvedilol,152,ADRA2C
1109,doxepin,152,ADRA2C
1113,moxonidine,152,ADRA2C
1114,fenoldopam,152,ADRA2C
1116,desipramine,152,ADRA2C
1117,ropinirole,152,ADRA2C
1119,mianserin,152,ADRA2C
1122,loxapine,152,ADRA2C
1125,cabergoline,153,ADRB1
1126,celiprolol,153,ADRB1
1127,CGP-20712,153,ADRB1
1128,propafenone,153,ADRB1
1129,nortriptyline,153,ADRB1
1130,levobunolol,153,ADRB1
1131,epinephrine,153,ADRB1
1132,loxapine,153,ADRB1
1133,CGP-12177,153,ADRB1
1134,xamoterol,153,ADRB1
1135,alprenolol,153,ADRB1
1136,trimipramine,153,ADRB1
1137,atenolol,153,ADRB1
1138,fenoterol,153,ADRB1
1139,metoprolol,153,ADRB1
1140,carvedilol,153,ADRB1
1141,nadolol,153,ADRB1
1142,salbutamol,153,ADRB1
1143,ICI-89406,153,ADRB1
1145,acebutolol,153,ADRB1
1146,sotalol,153,ADRB1
1148,bisoprolol,153,ADRB1
1149,cyanopindolol,153,ADRB1
1150,cimaterol,153,ADRB1
1151,amiodarone,153,ADRB1
1152,esmolol,153,ADRB1
1154,mephentermine,153,ADRB1
1155,droxidopa,153,ADRB1
1156,labetalol,153,ADRB1
1160,bopindolol,153,ADRB1
1162,practolol,153,ADRB1
1163,pindolol,153,ADRB1
1164,timolol,153,ADRB1
1165,carteolol,153,ADRB1
1166,nebivolol,153,ADRB1
1167,pseudoephedrine,153,ADRB1
1171,betaxolol,153,ADRB1
1175,dobutamine,153,ADRB1
1176,isoprenaline,153,ADRB1
1177,BRL-37344,153,ADRB1
1181,mirtazapine,153,ADRB1
1182,amitriptyline,153,ADRB1
1187,talinolol,153,ADRB1
1193,olanzapine,153,ADRB1
1197,oxprenolol,153,ADRB1
1199,L-755507,153,ADRB1
1201,SR-59230A,153,ADRB1
1203,etilefrine,153,ADRB1
1205,propranolol,153,ADRB1
1208,desipramine,153,ADRB1
1212,isoxsuprine,154,ADRB2
1213,terbutaline,154,ADRB2
1214,carvedilol,154,ADRB2
1215,epinephrine,154,ADRB2
1216,bisoprolol,154,ADRB2
1217,carteolol,154,ADRB2
1218,pindolol,154,ADRB2
1219,celiprolol,154,ADRB2
1220,atenolol,154,ADRB2
1221,phenoxybenzamine,154,ADRB2
1222,cimaterol,154,ADRB2
1223,propranolol,154,ADRB2
1224,buphenine,154,ADRB2
1225,propafenone,154,ADRB2
1226,asenapine,154,ADRB2
1227,BRL-37344,154,ADRB2
1229,CGP-12177,154,ADRB2
1230,metoprolol,154,ADRB2
1231,sotalol,154,ADRB2
1236,procaterol,154,ADRB2
1238,timolol,154,ADRB2
1239,salmeterol,154,ADRB2
1241,ritodrine,154,ADRB2
1242,salbutamol,154,ADRB2
1243,fenoterol,154,ADRB2
1244,cabergoline,154,ADRB2
1246,nortriptyline,154,ADRB2
1247,tulobuterol,154,ADRB2
1248,levobunolol,154,ADRB2
1249,isoprenaline,154,ADRB2
1250,droxidopa,154,ADRB2
1251,trimipramine,154,ADRB2
1252,labetalol,154,ADRB2
1255,orciprenaline,154,ADRB2
1256,dipivefrine,154,ADRB2
1257,formoterol,154,ADRB2
1258,clenbuterol,154,ADRB2
1259,levalbuterol,154,ADRB2
1264,acebutolol,154,ADRB2
1269,mirtazapine,154,ADRB2
1270,nadolol,154,ADRB2
1271,ICI-89406,154,ADRB2
1275,L-755507,154,ADRB2
1277,mephentermine,154,ADRB2
1279,ICI-118551,154,ADRB2
1280,pseudoephedrine,154,ADRB2
1281,bambuterol,154,ADRB2
1284,betaxolol,154,ADRB2
1286,dobutamine,154,ADRB2
1288,bopindolol,154,ADRB2
1290,indacaterol,154,ADRB2
1298,alprenolol,154,ADRB2
1301,SR-59230A,154,ADRB2
1307,desipramine,154,ADRB2
1308,ephedrine,154,ADRB2
1314,olanzapine,154,ADRB2
1316,oxprenolol,154,ADRB2
1318,penbutolol,154,ADRB2
1320,amitriptyline,154,ADRB2
1321,BRL-37344,155,ADRB3
1322,fenoterol,155,ADRB3
1324,isoprenaline,155,ADRB3
1325,CGP-20712,155,ADRB3
1326,CGP-12177,155,ADRB3
1327,epinephrine,155,ADRB3
1328,ZD-2079,155,ADRB3
1329,propranolol,155,ADRB3
1330,trimipramine,155,ADRB3
1331,carvedilol,155,ADRB3
1333,droxidopa,155,ADRB3
1335,cimaterol,155,ADRB3
1336,SR-59230A,155,ADRB3
1341,L-755507,155,ADRB3
1344,nadolol,155,ADRB3
1345,olanzapine,155,ADRB3
1346,ZD-7114,155,ADRB3
1348,nortriptyline,155,ADRB3
1349,amitriptyline,155,ADRB3
1354,mephentermine,155,ADRB3
1355,benfotiamine,177,AGER
1356,delivert,185,AGTR1
1357,eprosartan,185,AGTR1
1358,olmesartan,185,AGTR1
1359,valsartan,185,AGTR1
1360,candesartan,185,AGTR1
1361,GBR-12935,185,AGTR1
1362,losartan,185,AGTR1
1364,telmisartan,185,AGTR1
1368,olmesartan-medoxomil,185,AGTR1
1371,irbesartan,185,AGTR1
1373,ZD-7155,185,AGTR1
1379,candesartan-cilextil,185,AGTR1
1380,azilsartan,185,AGTR1
1381,candesartan,186,AGTR2
1382,azilsartan-medoxomil,186,AGTR2
1383,PD-123319,186,AGTR2
1386,delivert,186,AGTR2
1387,azilsartan,186,AGTR2
1390,3-deazaadenosine,191,AHCY
1391,ITE,196,AHR
1392,BRD-K61463582,196,AHR
1393,diosmin,196,AHR
1394,atorvastatin,196,AHR
1396,nimodipine,196,AHR
1398,flutamide,196,AHR
1399,arctigenin,196,AHR
1400,stemregenin-1,196,AHR
1402,mexiletine,196,AHR
1405,leflunomide,196,AHR
1406,apigenin,231,AKR1B1
1407,ponalrestat,231,AKR1B1
1408,troglitazone,231,AKR1B1
1409,isoquercetin,231,AKR1B1
1410,ascorbic-acid,231,AKR1B1
1411,alrestatin,231,AKR1B1
